ingredient_simple,country,count_country,count_total
garlic,chinese,53,132
ginger,chinese,39,76
cornstarch,chinese,45,64
chili,malaysian,24,56
onion,chinese,21,51
pieces,malaysian,11,37
flour,malaysian,12,34
chilies,malaysian,17,33
minced,vietnamese,11,31
egg,chinese,9,29
eggs,malaysian,8,28
meat,chinese,9,27
cloves,malaysian,11,26
mushrooms,chinese,17,26
frying,chinese,9,24
sections,chinese,10,24
juice,thai,7,22
noodles,chinese,9,22
vinegar,chinese,13,22
beef,chinese,12,22
anise,malaysian,10,21
onions,chinese,8,21
stock,chinese,7,20
milk,malaysian,9,20
scallion,chinese,12,20
cubes,indian,6,19
shrimp,chinese,15,19
strips,chinese,7,19
rice,malaysian,5,19
shallots,malaysian,11,18
turmeric,malaysian,10,18
yogurt,indian,13,18
lemongrass,malaysian,13,18
butter,malaysian,9,18
pork,chinese,13,17
carrot,chinese,11,17
diced,indian,5,17
tofu,chinese,10,17
chicken,malaysian,7,17
masala,indian,15,17
coriander,indian,8,16
chunks,malaysian,10,15
mirin,japanese,14,14
stick,indian,5,14
cream,malaysian,7,14
cornflour,chinese,6,13
white,chinese,11,13
sake,japanese,12,12
rings,malaysian,5,12
about,indian,3,12
